speaker_id,utterance_id,baseline_cosine,adapted_cosine,cosine_improvement
p340,p340_045,0.08562737703323364,0.387068510055542,0.30144113302230835
p340,p340_046,-0.04542435333132744,0.36665672063827515,0.4120810739696026
p351,p351_001,0.04236409813165665,0.3223254680633545,0.27996136993169785
p351,p351_002,0.166120246052742,0.2947300672531128,0.1286098212003708
p351,p351_003,0.047738321125507355,0.26985812187194824,0.2221198007464409
p351,p351_004,0.19962120056152344,0.2774754762649536,0.07785427570343018
p351,p351_005,0.21998761594295502,0.24514085054397583,0.025153234601020813
p351,p351_006,0.1574191451072693,0.3332061171531677,0.17578697204589844
p351,p351_007,0.14612184464931488,0.2908260226249695,0.1447041779756546
p351,p351_008,0.12266957759857178,0.3158344328403473,0.1931648552417755
p351,p351_009,0.17567138373851776,0.30994585156440735,0.1342744678258896
p351,p351_010,0.11646993458271027,0.3964192867279053,0.279949352145195
p351,p351_011,0.2243395298719406,0.335861474275589,0.11152194440364838
p351,p351_012,0.1762932986021042,0.273527055978775,0.09723375737667084
p351,p351_013,0.2620205581188202,0.3389977216720581,0.07697716355323792
p351,p351_014,0.1390216052532196,0.23054438829421997,0.09152278304100037
p351,p351_015,0.1613200455904007,0.29081234335899353,0.12949229776859283
p351,p351_016,0.18050475418567657,0.24958376586437225,0.06907901167869568
p351,p351_017,0.21843186020851135,0.3093058466911316,0.09087398648262024
p351,p351_018,0.17166779935359955,0.3172699213027954,0.14560212194919586
p351,p351_019,0.1772109419107437,0.28385743498802185,0.10664649307727814
p351,p351_020,0.12889710068702698,0.31035035848617554,0.18145325779914856
p351,p351_021,0.14188747107982635,0.3354259431362152,0.19353847205638885
p351,p351_022,0.10909529775381088,0.32946938276290894,0.22037408500909805
p351,p351_023,0.14859965443611145,0.3115427792072296,0.16294312477111816
p351,p351_025,0.15923522412776947,0.2963011860847473,0.13706596195697784
p351,p351_026,0.022604994475841522,0.35068076848983765,0.3280757740139961
p351,p351_027,0.07908561825752258,0.35122203826904297,0.2721364200115204
p351,p351_028,0.08536219596862793,0.2714887857437134,0.18612658977508545
p351,p351_029,-0.08147038519382477,0.32185810804367065,0.4033284932374954
p351,p351_030,0.21123972535133362,0.29073721170425415,0.07949748635292053
p351,p351_031,0.05123075097799301,0.2568885087966919,0.20565775781869888
p351,p351_032,0.18670760095119476,0.22382977604866028,0.037122175097465515
p351,p351_033,0.1503906548023224,0.28755173087120056,0.13716107606887817
p351,p351_034,0.23913630843162537,0.30321377515792847,0.0640774667263031
p351,p351_035,0.21920102834701538,0.3581404387950897,0.13893941044807434
p351,p351_036,0.0724828839302063,0.2973773777484894,0.22489449381828308
p351,p351_037,0.23340365290641785,0.3431423306465149,0.10973867774009705
p351,p351_038,0.04795021563768387,0.3316495716571808,0.2836993560194969
p351,p351_039,0.010192030109465122,0.244724303483963,0.2345322733744979
p351,p351_040,0.17555563151836395,0.25245341658592224,0.07689778506755829
p351,p351_041,0.2329472452402115,0.296608030796051,0.06366078555583954
p351,p351_042,0.18329182267189026,0.2714335024356842,0.08814167976379395
p351,p351_043,0.02746296487748623,0.3333912193775177,0.30592825450003147
p351,p351_044,0.18025261163711548,0.3482753038406372,0.16802269220352173
p351,p351_045,0.13231056928634644,0.26542824506759644,0.13311767578125
p317,p317_001,0.017954569309949875,0.20028282701969147,0.1823282577097416
p317,p317_002,0.02314053103327751,0.220962792634964,0.19782226160168648
p317,p317_003,-0.004482844844460487,0.2262001782655716,0.23068302311003208
p317,p317_004,0.014372369274497032,0.14152070879936218,0.12714833952486515
p317,p317_005,-0.014787927269935608,0.20044152438640594,0.21522945165634155
p317,p317_006,0.01192055270075798,0.24114754796028137,0.2292269952595234
p317,p317_007,0.009381067007780075,0.2516438663005829,0.2422627992928028
p317,p317_008,0.03176113963127136,0.2384777069091797,0.20671656727790833
p317,p317_009,0.021994542330503464,0.27294352650642395,0.2509489841759205
